transliteration,translation
ali II,"~ ""surely"" Mari"
all... I,also = ana l...
allallu II,"~ ""powerful"" j/NB epith. of gods"
allalu I,mng. unkn. jB lex.
allapak I,"conj. ""when""? jB lex."
alli'ayya I,"""driveller"" O/jB lex."
altalû I,"~ ""forest"" jB lex."
altarru I,"""strong, heroic"" jB lex."
altikkaru I,mng. unkn. OB lex.
ama'errakkūtu I,nan
amaṣiru I,mng. unkn. jB
amm... I,also = ana m...
ammannâ I,"""anybody""? MB"
ammaru I,mng. unkn. Nuzi
ammatu IV,mng. unkn. Ug. leg.
ammi I,"""there"" OA"
ammidakku I,"""lye""? Mari, in metal treatment"
amu I,"pl. f. ""raft"" Bab., usu. of reed"
amursānu I,"""wild pigeon"" jB"
amû I,"""one-handed""? OB, jB lex."
amû IV,"~ ""list of reciprocals"" NB"
amû V,"vb. mng. unkn. OAkk in PNs, e.g. Īmi-ilum"
amšû I,"""palm fibre"" OB"
anadaru I,"""bearded"" jB lex."
angallu I,"~ ""wise"" M/jB"
animû I,"~ ""kindness, peace"" jB lex."
ann... I,also = ana n...
annuka I,mng. unkn. NB
annukâ I,"""here"" Elam, Nuzi"
annuš I,"~ ""look!"" Am."
antašubbû I,nan
antu I,"""ear of barley"" jB lex., NA"
antu II,mng. unkn. O/jB
anuntu I,"pl. anunātu ""fight, combat"" jB, NA"
anāma I,"""as soon as"" OA"
anšanû I,'of Anšan' OB as desig. of a bow
apadu I,"""small"" jB lex."
apilha I,mng. unkn. jB lex.
apluhtu I,"""armour"" O/jB"
app... I,also = ana p...
appahu I,"~ ""branches"" jB lex."
apparrītu I,"pl. apparrâtu ""tufted hair, strand of hair"" jB"
appūna I,"""moreover"" OAkk, OA, O/jB"
apu II,"""hole, opening"" in the ground NA rit."
apuhhu I,"~ ""fear"" jB"
apurugiš I,mng. unkn. NB
apītaš I,mng. unkn. jB
arakku I,nan
aramanātu I,"f. pl. ~ ""lairs""? jB of wild animals"
ardadu I,"~ ""thief"" jB"
armaya I,"f. armītu ""Aramaic"" NA of scribe, document etc."
armu III,jB lex. = arammu ?
armūtu I,"""desolation"" jB lex."
arr... I,also = ana r...
arriātu I,in ša a. mng. unkn. OB lex.
arrā'u I,"""on the ground""? NB of goose"
arsu I,~ arzānu NA lex.
aru III,"""hide"" of ox OA"
aruppu I,"""armpit"" jB"
arutû I,"~ ""mountain"" jB lex."
arzānu I,"""barley-groats"" [AR.ZA.NA]"
arû II,"""granary, storehouse"" OA, jB lex."
arû V,"""hungry"" jB lex."
arānu I,"f. ""chest, cashbox, coffin"" j/NB of wood, stone"
arūru I,"~ ""outlet of a canal"" jB"
asiqatu I,mng. uncl. NB lex.
aspatu I,in bīt a. mng. unkn. NB
asru I,mng. uncert. NB
ass... I,also = ana s...
assaru I,"~ ""charioteer"" jB"
assukku I,"""sling-stone"" Susa, jB"
asītu I,"""female physician"" NB in PN"
ataru I,mng. unkn. jB lex.
atmu I,mng. unkn. jB lex.
att... I,also = ana t...
attadû I,"""spillway""? OB, NB?"
atulīmānu I,"pl. tant. ""both hands"" jB"
awirānu I,"""standing water"" [jB A.NIGIN] after flood"
ayyāmi I,"""where?"" Am."
azabum I,nan
azal I,mng. unkn. jB lex.
azamrītu I,"pl. azamrâtu ~ ""lance"" M/jB held by figurine"
azarkiru I,mng. unkn. OB lex.
azaru I,"~ ""lynx"" O/jB [SA.A.RI.RI] living in marshes"
azmarû I,"""lance"" M/NB"
azīru I,"""sputum""? jB"
ašar I,"""straightaway"" OB lex."
ašgagu I,"""fight"" M/jB"
ašgandu I,nan
ašium II,nan
ašišû I,"~ ""miserable, wretched"" jB lex."
ašlukku I,"""storeroom"" jB"
ašmetu I,"~ ""dust storm"" jB lex."
ašpalûm I,nan
ašturru I,"""gnat"" jB lex."
ašubbatu I,"""woman, wife"" jB lex."
ašû II,"~ ""living creatures"" O/jB"
ašû IV,"~ ""distinguished, noble"" OA, jB"
ašītu III,"~ ""midday"" jB lex."
ašš... I,also = ana š...
aššurayītu I,"f. adj. ""Assyrian"" MA desig. of language"
aṣappu I,"""pack animal"" NA"
aṣṣ... I,also = ana ṣ...
babalu I,"~ ""leader"" jB lex."
babaru I,"~ ""forest"" jB lex."
badāhu I,"""to kiss"" jB lex."
badāmu I,mng. unkn. jB lex.
badāšu I,mng. unkn. jB lex.
bahārum I,nan
bahšu I,mng. unkn. OAkk as PN
bakuhû I,"~ ""bud, shoot"" jB lex."
baliu I,"~ ""lord"" jB lex."
bamātu I,"pl. tant. ""open country, plain"" Bab."
banbirru I,"~ ""leather coat"" jB lex."
barru I,"mng. uncl. M/NB, of metals, of the mouth"
barû IV,"vb. mng. unkn. OAkk, OB"
barīru II,mng. unkn. jB
basālu I,mng. unkn. NA of stone
batium I,nan
bayyādu I,mng. unkn. NA
baššu I,mng. unkn. jB lex.
baṣāṣu I,"""to trickle"" jB lex., NA G"
bennu I,"~ ""epilepsy"" Bab., NA, also abbr. be, bi"
bennu II,mng. unkn. jB
beriu I,mng. unkn. OB lex.
berātu I,"pl. tant. ~ ""waters, lagoons"" jB"
bi'āru I,"""spot on the skin"" jB med."
biqlu I,"~ ""sapling"" Mari, of box tree"
birhu I,mng. unkn. NA
birihhu I,"~ ""string, bundle"" OAkk, O/jB of vegetables etc."
birkatu I,error for cf. birratu
birru I,"""grille, lattice"" jB, NA"
bis I,"""then, afterwards"" NA"
bisru I,"""leek"" jB"
bitru I,mng. uncert. jB med. in prescriptions
bišbišu I,"""pith"" jB lex., inside reed"
biškānu I,"""pupa of a caterpillar"" NA"
bišru I,"""small child"" jB lex."
biššu I,"""rue""? j/NB, a garden plant"
biṣru I,"""bag"" jB lex., of physician, diviner"
buddudu I,"""to waste, dissipate"" NA D"
budduru I,"~ ""bundle of reeds"" OB, jB lex."
budūhu I,mng. unkn. Mari
bulû I,"""dry wood, dry reed"" Bab., MA"
bulīmānu I,mng. unkn. MB as PN
bunbullu I,"mng. unkn. jB, NA"
buppāniš I,"""face down"" jB"
buqquru I,"""to inquire into, investigate"" NB D"
burbu'tu I,"pl. burbu'ātu, OB burbuhātum ""bubble"" O/jB, Bogh."
burbāni I,mng. unkn. NA
burrātu I,mng. unkn. jB
bururānu I,mng. unkn. NB
bussumu II,"""to please"" OB D"
butturu II,"""to mutilate""? jB lex. D"
bâlu I,"""to supplicate"" G j/NB"
bā I,"""water"" jB lex."
bābu II,"""small child, baby"" jB lex."
bātiqu I,"1. OA ""express messenger""2. NA, NB ""informer, denouncer"""
bātu I,"""half"" jB lex."
bīriš I,"""over, to the other side"" M/jB"
bīru II,"""bull calf"" M/NB [GU4.NÍNDA]"
būrtī šamhat I,"""caterpillar"" jB, NA"
da'īmu II,"~ ""lance"" jB lex."
da'ūdu I,mng. unkn. jB lex.
dabāru I,mng. unkn. jB G lex. only
dabāru II,subst. mng. unkn. jB lex.
daddu I,"pl. f. ~ ""sole"" O/jB of shoe"
dagāru I,N jB mng. uncl.
dahru I,"~ ""angry"" jB lex."
dakirû I,"~ ""tree"" jB lex."
dalqu I,mng. unkn. OB as PN
damgiru I,mng. unkn. jB in binût d.
damtu II,"~ ""form, shape""? jB lex."
dannina I,"""nether world"" O/jB"
daraggu I,"""way, track"" jB"
dargiš I,"~ ""couch"" NB of wood"
darāku I,"""to follow""? G not attested D lex. only"
darāku III,"D ""to thresh"" NA"
darāšu II,mng. unkn. jB lex. G of wound
datû I,"""member"" of a family ? OB"
daš'u I,"""spring"" OA, as time of year"
dašnu I,"~ ""mighty"" O/jB"
derderru I,"~ ""battle"" jB lex."
deššu I,nan
dibiru I,"~ ""calamity"" jB lex., om."
didabû I,"""scribal apprentice, pupil"" NA"
dišarru I,"~ ""oats"" jB lex."
dubbuqu I,"D ""to join together"" Ug."
dubdubbē I,adv. mng. unkn. jB lex.
duhnu I,"""millet"" M/NA, M/NB"
dulluqu I,"mng. unkn. OB, MA as PN"
dullû I,"D ""to lift out, unload"" dates NB"
dulāqu I,mng. unkn. OB as PN
dumāmu I,"~ ""leopard"" jB"
duppuru II,adj.? mng. unkn. jB lex.
durdû I,"""goddess"" jB lex."
durmāhiš I,"""to the durmāhu"" jB"
durrû I,"D ""to neglect, reject""? Mari, O/jB lex."
durugiqqu I,nan
duāru I,"""to surround, enfold"" OAkk G stat. only"
duššumu I,"mng. unkn. OAkk, OB as PN"
dâdānū I,"pl. tant. ""tendon of the neck"" O/jB"
dīru I,"1. j/NB, NA ""intercalation""2. NB ""intercalary month"""
dūru III,"""lance"" jB lex."
dūšu II,mng. unkn. jB lex.
ebēru III,"""joy, celebration""? jB lex."
ebūbatu I,"""wood, thicket"" jB lex."
edaqqu I,"~ ""small child"" jB lex."
ediptu I,mng. unkn. jB lex.
eduppû I,nan
edātu I,pl. mng. uncert. MB
egusu I,mng. unkn. jB lex.
elamūtu I,mng. unkn. jB
ellarūtu I,mng. unkn. jB lex.
elēlu III,mng. uncl. jB lex.
elīta I,"1. OB ""furthermore, moreover""2. Bab. ""aloud"""
emmea I,"""baa"" jB of sheep"
emušutu I,error for cf. emumātu ?
enen I,"""now"" M/jB var. of inanna"
enguratti I,adv. mng. unkn. NA
enēnu IV,"""to pray"" jB lex."
epapu I,mng. unkn. jB lex.
eqīdu I,"""cheese"" jB, NA"
ernama I,mng. unkn. jB
eru I,mng. unkn. OAkk
eršetu I,nan
esādu I,mng. unkn. jB med.
ezzu II,nan
ezû I,"""to defecate"" OB lex."
ešqapīzu I,nan
ešqu I,"""solid, massive"" jB of building stone"
ešē'u I,"~ ""to muzzle""? OB lex., jB"
ešše'u I,"""touchwood, tinder"" jB lex."
eššû I,"""cold weather""? jB lex."
eṣennû I,"""tube, spout"" on vessel jB lex."
eṭirtu I,mng. unkn. jB lex.
gabatinnu I,"""female pudenda"" jB lex."
galgaltu I,"""hunger"" jB lex."
gamarru I,"""infantry"" M/NA"
gamuzu I,mng. unkn. NA of horses
gamā'u I,vb. mng. unkn. jB lex.
gamāmu I,"""to cut off"" jB lex. G"
garīdu I,"""beaver""? jB med., testicle of g."
gayyānu I,"mng. unkn. jB lex., archit. term"
gaširūtu I,"""appurtenances"" jB in g. šarrūti ""royal paraphernalia"""
gašīšiš I,"""on stakes"" jB"
gaṣṣu I,"~ ""cruel, murderous"" O/jB of deities, demons"
gelduhlu I,"""bowyer, bow-maker"" MA, Nuzi"
genû I,"~ ""to thrust, butt"" M/jB G D"
gepû I,mng. unkn. jB lex.
gerru II,"""lion cub, puppy"" jB"
gerrānu I,"""wailing, lamentation"" OAkk, O/jB"
giammalu I,"~ ""sprout, shoot"" jB lex."
gibillu I,"~ ""touch-wood, tinder"" jB lex."
gidimmu I,"pl. f. ~ ""water scoop"" jB, NA"
gidubbû I,nan
girimmiš I,mng. uncl. OB
gitnu I,mng. unkn. jB lex.
giṣṣiš I,"""into thorn-bushes"" OB of pasture"
gubbuhu I,"""bald"" O/jB, also as PN"
gugāru I,mng. unkn. jB desig. of stone
guhhubu I,"D ""to cough"" jB"
gulinnu I,mng. unkn. NB
gullušu I,D mng. unkn. jB lex.
gullēnu I,"""man"" jB lex."
gumāru I,"""carbonized wood, charcoal"" NA"
gunnu II,nan
gupāru I,mng. unkn. Mari
gurutu I,"""ewe"" M/NA [UDU.U8]"
gusû I,mng. uncert. jB as destination of boat ?
gutezzû I,"Dt ~ ""to take refuge""? jB lex."
guzīru I,mng. unkn. NA
gâ'u I,"""to spit, spew"" jB, NA G"
gêšu I,"""to turn over, grub up"" O/jB soil"
gêšu II,"""to spend the night"" jB lex."
gāgu I,"~ ""ring, torc"" NA of gold, silver"
habannānu I,"""water-tub""? jB"
habhayû I,"""from Habhu"" MA, desig. of sheep"
habinniš I,"~ ""secretly""? jB"
habsukku I,nan
habû IV,"""to give refuge"" NA G or D"
hadi-ū'a-amēlu I,"""joy-woe-man"" jB i.e. of fickle mood"
halbu I,"""forest"" O/jB"
hallimu I,"pl. hallimānu ""raft"" NB"
halluhu I,mng. unkn. OA D action towards girl
halpatu I,"* mng. unkn. NA, of eunuchs"
halābu I,"""to milk"" NA G milk, breast"
halātu I,mng. unkn. OA = alātu ?
hamuhhu I,"mng. unkn. Mari, in desig. of chariot"
hamurītu I,"""throat"" jB lex."
hamûtu I,mng. unkn. jB lex.
hamā'u I,"""to see"" jB lex. G"
handuttu I,"""vulva"" jB lex."
handû I,"""reed pith"" jB [GI.ŠÀ.GI]"
hannasru I,mng. unkn. jB lex.
hannatu I,mng. unkn. jB
hanāsu I,"""mourning""? jB comm."
hapû I,"""to wrap up""? G unattested D Mari, bows"
harašūtu I,? mng. unkn. OAkk
hardu II,mng. unkn. OB lex. as desig. of day
harharu I,"""villain, rogue"" O/jB"
harruhāya I,"""vulture"" jB lex."
harsapnu I,"? ""larva, maggot"" jB"
harurtu I,"""throat"" NA"
harû III,"""palm shoot"" O/jB"
harādu I,"""desert place""? OA"
harāru II,nan
harūrakku I,mng. unkn. MA
hattû I,"""Hittite"" jB, NA"
hatītu I,"""lousy, louse ridden"" jB lex."
hazru I,"~ ""swamp"" jB lex."
hazāqu I,mng. unkn. G unattested D jB lex. only
hašhaštu I,mng. unkn. OB lex.
hašmānuhhe I,Nuzi pl. form of hašmānu
hašrû I,mng. unkn. jB lex.
hašāru I,mng. unkn. G unattested D jB lex. only
haṣābu II,"""to be green"" jB Š ""make"" orchard ""verdant"""
hillutu I,"""creeping"" subst. NA in fig. etym. after"
himsātu I,"pl. tant. ""wrongful possessions"" M/NA"
himṣu II,"""fatty tissue"" Bab. [UZU.ME.HÉ] esp. ext."
hinnu I,"""ship's cabin"" jB lex."
hinzu I,mng. unkn. MB desig. of images
hiṣpatu I,"~ ""insolence"" OB h. kabittum ""serious insolence"""
huballu I,"""pit, trench"" O/jB lex., Nuzi"
hubû I,mng. unkn. j/NB lex.
huhāriš I,"""as with a bird-snare"" jB"
hulbāṭu I,adj. mng. unkn. jB lex.
hulmu I,pl. f. mng. unkn. Mari
hulālû I,"""like h. stone"" NB in fPN Hulālīti"
hulīlū I,"mng. unkn. Mari, in ūm h."
hummusu I,"D ""to pressurize, oppress"" OB"
hunzû I,"~ ""lame"" M/NB usu. as PN, family name"
hunṭu I,"""ripeness, maturity"" jB lex."
huqqu I,mng. unkn. Bogh. lex.
huralbu I,"""bed"" jB lex."
hurdu II,"""posthumous child"" Ass."
hurpatu I,"~ ""tent"" Mari"
huruharu I,"mng. unkn. MA, jB"
hurātu I,"pl. tant. ""ladder"" O/MA"
huršiānu I,"m. & f. ""package"" OA"
hutpu I,"""arrowhead"" O/jB of bronze, for šiltāhu"
huttutu I,"""louse ridden"" jB lex."
hušranni I,"""all humanity"" jB lex."
hušuātu I,"""strength"" jB lex."
hušālu I,mng. unkn. OA
hâru II,nan
hâtu I,"~ ""to seize prey""? Mari G"
hālu III,"in karān h. ""vinegar""? NA"
hēru I,"~ ""totality"" jB lex."
hīštu I,"""thorn bushes"" j/NB"
i'û I,mng. unkn. jB lex.
ibahu I,"""womb"" jB lex."
ibilu I,"""camel, dromedary"" jB, NA [ANŠE.A.AB.BA]"
ibsû I,nan
idatūtu I,mng. uncl. NB
iddinum I,nan
ihzu II,"""whip"" jB lex."
ikiltu I,nan
ilku II,"~ ""hip area"" jB"
illurtu I,"""handcuffs"" jB"
ilqu I,"""leech"" jB"
iltappu I,"""loincloth"" j/NB"
ilṣu I,"""loins"" jB lex."
imgû I,"adj. mng. unkn. OB, also in PNs"
imhulliš I,"""like a storm"" jB"
imûtu I,mng. unkn. OB
imātu I,mng. unkn. jB lex.
imītu I,"mng. unkn. OB of cattle, flocks"
induhhatu I,mng. unkn. jB lex.
ingana I,"""come on!"" Am."
ingippu I,mng. unkn. jB
inimma I,"~ ""oh!"" jB in lamentations"
inimmû II,"""cup, bowl"" jB lex."
innu I,"""look!"" jB lex."
inšiš I,"~ ""deceitfully"" OB in i. lamniš"
iqbīnu I,mng. uncl. jB lex.
irana I,mng. unkn. Nuzi
iri'u I,"""dregs, lees"" jB of beer"
irṣiṣu I,"mng. unkn. NA, a precious item"
isippu I,mng. unkn OB in bīt i.
itannu I,"""mesh, interstice"" of net jB"
itgurūtu I,mng. uncl. jB comm.
ithuṣu I,mng. unkn. NA in bīt ithiṣi
ithû I,mng. unkn. jB lex.
itišutu I,"mng. unkn. Nuzi in šipir i. ""i. work"""
itmû I,"~ ""to nod the head"""
ittān I,mng. uncl. jB lex.
itānu I,mng. unkn. jB lex.
išdun I,mng. unkn. jB lex.
išiktu I,"""marshland"" jB lex."
išištu I,mng. unkn. OB lex.
išpardu I,"""horse-bit"" M/jB"
išpurnatu I,cf. išburna[tu]?
išru II,"pl. f. ""enclosed village""? O/jB"
iššu I,"pl. iššū ""woman, wife"" O/jB lex., lit."
iššunû I,"pron. adj. ""theirs"" NA"
išūtu I,mng. uncl. jB lex.
iṣusu I,mng. unkn. jB lex.
ka''û I,"D NA ""to wave"" frond"
kaba'u I,"~ ""reed foliage"" jB lex."
kaballu I,"""leggings"" O/MB in pairs, freq. attached to shoes"
kabhu I,mng. unkn. Nuzi
kabsu II,"f. kabsatu ""young sheep"" OB, j/NB, NA"
kabzuzuttu I,"""rôle of educated person""? Bogh."
kabû I,"~ ""plant pod""? Bab."
kabšarrūtu I,"""profession of stone-carver"" Bogh. lex."
kadammu I,"pl. f. ~ ""dungeon""? NA"
kadmuru I,mng. unkn. M/NA in name of Ištar temple
kadāpu I,mng. unkn. jB lex.
kadāru IV,"""to labour""? NA G"
kagû I,mng. unkn. OB lex.
kahama I,adv.? mng. unkn. MB
kakardinnu I,"""victualler"" [LÚ.SUM.NINDA] a palace employee"
kalappu I,"pl. f. ""pickaxe"" Ass., NB?, of metal"
kallānu I,mng. unkn. NB
kalûtu II,"~ ""tree"" jB lex."
kalūlu I,mng. unkn. lex.
kam'atu I,"? ""truffle"" O/jB, NA ?"
kamuššatu I,mng. unkn. jB lex.
kamādu I,"""to beat cloth""? O/jB G D mng. uncl."
kamāṣu I,"""rest period"" jB lex."
kamītiš I,"""in bondage"" jB"
kantappu I,"~ ""fish's tail""? jB, part of a figurine"
kanāšu II,"""to gather in"" NA, NB D people, harvest"
kanūku I,mng. unkn. jB lex.
kapkapu I,"~ ""powerful"" M/jB"
kappaltu I,"""groin"" jB of man"
kapparinnu I,mng. unkn. NB
karallu II,"~ ""happiness"" jB comm."
karaphu I,"""fallow land, year"" Alal., NA"
kararû I,"""midday heat"" jB [AN.BIR9]"
karkaru I,"mng. unkn. OB, desig. of chair"
karpaṣu I,"~ ""magnificent"" jB lex."
karratu I,"mng. unkn. M/jB, desig. of a window"
kartillû I,mng. unkn. jB lex.
karulumma I,nan
karāšu II,"""catastrophe, disaster"" O/jB"
kasīlūtu I,mng. unkn. OA
katâtu I,"""needle""? jB lex."
kauriyannu I,mng. unkn. Nuzi in desig. of gold vessel
kayyanzu I,"~ ""property""? Emar"
kayyipu I,"""criminal"" jB lex."
kaziršu I,mng. uncl. Nuzi
kašītu I,f. mng. unkn. jB lex.
kaššidu I,mng. uncert. jB of sign
kašūtu I,mng. unkn. jB comm.
kaṣāṣu II,"~ ""rain""? jB"
kaṣṣūtu I,uncert. NB
kerru I,"""male sheep"" OAkk, OA, Mari"
kibarru I,"""boat of inflated skins""? NA/jB"
kibiltu I,uncl. jB lex.
kibrû I,"~ ""old man"" jB lex."
kidintu I,f. var. of kidinnû II 1 ?
kidinētu I,"""forest"" jB lex."
kikittu I,mng. unkn. jB lex.
kiksu I,"~ ""splinter of wood"" jB lex."
kilpu I,"""profit""? OA"
kilpu II,mng. unkn. NB
kimtu I,"f. ""family"" [IM.RI.A] bīt k. ""family house"""
kinakata I,adv.? mng. unkn. MA
kindabašše I,"etc. ~ ""loincloth"" M/NA"
kinnikêm I,"""over there"" Mari"
kipattu I,"""vulva""? jB in šapat k."
kissu II,nan
kiyahu I,adv.? mng. uncl. OB lex.
kiyā I,"""how much?"" OB"
kizzāniš I,mng. uncl. jB
kišītu I,"~ ""rebellion"" jB lex."
kubbu'u I,D mng. unkn. jB lex.
kubbutu I,"1. ""very heavy, solid""2. ""very honoured"""
kuddunu I,"D ""to seek sanctuary"" jB"
kuduktu II,mng. unkn. j/NB
kukkallānu I,"~ ""of fat-tailed type"" jB lex."
kukudru I,"""sheep's stomach"" O/jB lex., ext."
kullatu II,"""clay pit"" O/jB [KI.GAR], for figurine clay etc."
kullu II,"""hoe"" jB lex."
kumru I,"""priest"" O/MA, Mari [OA GUDU4]"
kumušā'u I,mng. unkn. Nuzi
kumāṣu I,"~ ""bush offering refuge""? jB lex."
kunkunnu I,mng. unkn. jB lex.
kunšu I,"""ball"" of wool jB"
kupanna I,mng. unkn. Nuzi
kuppittu I,pl. kuppinēti jB var. of kupatinnu ?
kuppû II,"""snow, ice"" NA"
kupīru I,"""bitumen""? NA for building"
kurangu I,"""rice"" jB, NA"
kurissu I,"pl. f. ~ ""leek"" NA"
kurkudu I,"mng. unkn. OB, as PN"
kurmittu I,"""butterfly""? jB"
kurru III,"""tanning fluid"" Bab., NA"
kurru IV,nan
kussimtum I,nan
kusû I,mng. unkn. jB lex.
kutamlalu I,mng. uncl. jB lex.
kutlālu I,mng. unkn. jB lex.
kuttimmatu I,"""female charcoal-burner"" jB mag."
kuttimmu I,"""charcoal-burner"" jB lex."
kutultu I,mng. unkn. jB lex.
kutāhu I,"pl. m. & f. ~ ""spear, lance"" NA"
kuzippu I,"""cloak"" M/NA"
kuzullu I,"""bundle of reeds"" Bab."
kušru II,"~ ""ingot"" NB of silver, copper"
kušurru I,mng. unkn. jB
kuṣṣû I,"D ""to tilt"" NA a bowl for libation"
kêsu I,"mng. unkn. OB, jB lex. G"
kādû I,mng. unkn. OB lex.
kīmu I,"""family"" jB"
kīnanna I,"""so, thus"" Am., Nuzi, Bogh."
kūru V,nan
la''upu II,"D ""to wrap in cloth"" OA"
la'āšu I,"~ ""to dirty, defile""? jB lex. G D"
labanātu I,"""incense"" jB"
labarmanna I,"~ ""for the future, henceforth"" Bogh."
labṣu I,"""foreigner""? OB lex."
lagāgu I,"""to cry out"" jB lex. only G D"
lahtu I,"""pit"" jB lex."
lala'u I,mng. unkn. jB
lallašu I,mng. unkn. OB lex.
lalû II,"""to bind""? jB lex."
lamattu I,"""ant"" jB lex."
lamāmu II,"""to test""? MB, NA in glass manufacture"
laplaptu I,"""thirst""? OB lex., jB, NA"
laqqu I,"mng. unkn. OB lex., desig. of person"
laruššu I,"mng. unkn. jB in laruš tâmti ""sea l."""
lekû I,"""to go"" jB lex."
li'atu I,"""saliva""? Bogh. lex."
lihmu I,"""muddy water"" Bogh. lex."
lipiššatu I,"""female genitalia"" jB"
lisnu I,mng. uncert. NA = lismu ?
liāpu I,mng. unkn. G D
lišdu I,"""cream"" O/jB"
liṭṭu I,mng. uncl. jB
lu''umu I,adj. mng. unkn. jB
lubbatu I,mng. unkn. OB
lubbunû I,"""incense""? NB"
luddu I,mng. unkn. jB
luhummû I,"""silt, mud"" O/jB"
luhāmu I,"""mud"" OB incant."
lukkuku I,D mng. unkn. jB lex.
lukānu I,in ina lukānumma mng. unkn. NB
lullû IV,"""false""? jB"
lulītu I,mng. unkn. OB
lummu II,"D ""to dissolve""? jB alum, wax, honey"
lummuṣu I,D mng. unkn. jB comm. stat. of eyes
lumā I,"ptcl. mng. unkn. Bogh., jB lex."
luqumā I,mng. unkn. NB
lurû I,"""man with feminine voice""? O/jB"
lušmu I,mng. unkn. MA in bīt l.
lušû I,"""grease"" jB lex."
lâdiru I,"""fearless"" MB/MA for lā ādiru"
lā'irānu I,"""standing water"" O/jB"
lāqtu I,? mng. unkn. OB
lāqum I,nan
lību I,"adj. mng. unkn. Bogh., jB of hide"
līdiš I,"""day after tomorrow"" NA in ina l., illīdiš"
līmu III,"""family, tribe"" jB lex."
lītiš I,mng. unkn. NA
līṭu III,"""sketch, drawing"" NA"
lūlu I,f. mng. unkn. OB
ma'su I,mng. unkn. jB
magikû I,"""provider"" jB lex."
mahaṣṣatu I,nan
mahdu I,mng. unkn. jB lex.
mahilumma I,mng. unkn. Nuzi in m. epēšu
mahratam I,nan
mahālu I,mng. unkn. jB lex.
makru II,"""advice""? jB lex."
makru III,"""red spot"" jB lex."
makāšu I,mng. unkn. jB lex. Gt
mallatu I,"""bowl, dish"" jB"
mallittu I,mng. unkn. jB lex.
mammu I,"""tiara"" O/jB"
mammīnim I,nan
manakuttu I,mng. unkn. jB lex.
mannašam I,adv. mng. unkn. OA
manānu I,"pl. tant. ""nerves""? jB"
mar-Arbail I,nan
mar-Babili I,nan
mar-Kute I,nan
mar-Ninua I,nan
mar-Qaʾis-šumati I,nan
mar-Sinnaya I,nan
mariakītu I,mng. unkn. OB
marmahhūtu I,"""office of the pašīšu priest"" jB"
marmaru I,"""strong"" jB lex."
marruru I,"1. OA ""bitter flour""2. MA ""closely scrutinized"""
martātu I,"""Martu woman""? OAkk"
marû III,"""to examine""? Mari G"
marṣā'u I,"""awl""? Am.?, jB lex."
massusu I,mng. unkn. NB
massûtu I,"1. MB ""call""?2. j/NB ""reading out, lecture"""
mat tamtimuwa I,nan
matennâ I,nan
matmatma I,"""ever and ever"" OB, Mari"
matu I,nan
matāru I,"G stat. only ""is spotted, speckled"" O/jB"
mazlagu I,"""trident, fork"" OA"
maš'ertu I,mng. uncl. OA
mašarrû I,"""dream"" jB lex."
mašdu I,"~ ""edge""? of bed, river j/NB"
mašgallu I,"""billy goat"" jB lex., NB"
mašgallû I,"""pertaining to a billy goat"" Nuzi"
maškūnu I,mng. unkn. OA
mašātu I,"""to itch"" jB G stat."
mekēlu I,"mng. unkn. jB, NA?, NB? G D"
melumma I,nan
merhu III,mng. unkn. MB
mermeri I,mng. unkn. Ug.
merrītu I,mng. unkn. OB
messûtu I,"""identification"" MB"
mihhu II,mng. unkn. jB
mikdu I,mng. unkn. jB lex.
miklu I,mng. unkn. NA
millu I,mng. unkn. jB
minduhru I,"""residue, sediment""? MA, jB ?"
minihû I,mng. unkn. jB lex.
minzû I,mng. unkn. MB
miqqu I,"""hole, cavity"" jB lex."
misissam I,"""sheep's stomach"" Bogh., jB lex."
misissu I,"in m. tâmti ""meerschaum, sepiolite"" M/jB"
missātu I,mng. unkn. jB lex.
mitru I,"""strong, powerful"" jB, of opponent"
mišaru I,NB for cf. išaru I
mišhu III,mng. unkn. jB rit.
miššam I,"""where to?""? jB lex."
miššulatam I,mng. unkn. Mari
mu'āru I,"""man"" jB"
muddû I,"""deficit, arrears""? Nuzi"
mudidlû I,"""individual line"" jB lex. of text"
mugguru I,"D ""to tear down"" NA, building"
muggušu I,D mng. unkn. O/jB
mukkidu I,"jB lex., syn. of ukkudu"
mulabbiṭu I,mng. unkn. jB
mulluqtu I,mng. unkn. OB in fPN
mulmullu I,"""arrow"" M/NA, M/jB"
mulūgūtu I,~ mulūgu Nuzi
mummu III,"""someone, something"" Bab."
mummu IV,"""noise""? jB"
munamū I,"~ ""abundance""? jB"
munhiatu I,"mng. unkn. OB, as field name"
munē'u I,in siparri munē'e mng. unkn. NB
murabbiānu I,"1. MA ""foster-father""2. NA ""educator, tutor""?"
murqu II,NB occas. for murruqu
murrû I,"D ""to be silent"" jB lex."
muruqūnu I,etc. NB for cf. mumarriqānu
muruš I,"""bed"" jB lex."
muti I,"""ever"" OA, Bogh."
mutkû I,mng. unkn. jB lex.
mutqu II,"""head louse"" jB"
muttabrītu I,mng. uncl. Mari
mutūtu II,mng. unkn. NA
mušabbištu I,mng. unkn. jB lex.
mušahhītu I,mng. unkn. Mari
mušanniktu I,nan
mušartu I,mng. unkn. Bogh. in ašar m.
mušidimmu I,nan
mušlahhūtu I,"""art of the snake charmer"" jB lex."
mušpīšu I,"""conjurer""? jB lex."
mušumma I,mng. unkn. OB
